Test,Bubble Sort,Selection Sort,Insertion Sort,Bucket Sort,Merge Sort
0,6.601458311080933,2.9017717838287354,2.785040855407715,0.006216764450073242,0.026978015899658203
1,6.458529949188232,2.968827962875366,2.629664421081543,0.005260467529296875,0.02550196647644043
2,6.629220008850098,2.7404353618621826,2.77105712890625,0.005352497100830078,0.025403261184692383
3,6.56531023979187,2.850405216217041,2.697460889816284,0.0052487850189208984,0.025301694869995117
4,6.526158332824707,2.931358575820923,2.8137598037719727,0.005161285400390625,0.02520751953125
5,6.628450393676758,2.7139179706573486,2.7704787254333496,0.005290031433105469,0.025163888931274414
6,6.434033393859863,2.944955587387085,2.850517511367798,0.005234479904174805,0.02521800994873047
7,6.446136713027954,2.7981436252593994,2.747951030731201,0.005190372467041016,0.026035547256469727
8,6.428622722625732,2.780268430709839,2.7134196758270264,0.014163732528686523,0.025977134704589844
9,6.467076539993286,2.8714864253997803,2.6435885429382324,0.005217790603637695,0.02622079849243164
10,6.48387598991394,2.801772356033325,2.626919746398926,0.005160331726074219,0.03492236137390137
11,6.576005220413208,2.7379541397094727,2.8139331340789795,0.005196809768676758,0.02510213851928711
12,6.599699020385742,2.8059117794036865,2.746680736541748,0.005105733871459961,0.02678990364074707
13,6.500960350036621,2.8514740467071533,2.808464288711548,0.005348682403564453,0.026082754135131836
14,6.5012006759643555,2.832653045654297,2.609468698501587,0.006558418273925781,0.025156021118164062
15,6.5971996784210205,2.7876393795013428,2.810793399810791,0.0051288604736328125,0.02516961097717285
16,6.470173358917236,2.8546509742736816,2.8296525478363037,0.005199909210205078,0.025714874267578125
17,6.569889307022095,2.8924813270568848,2.8295295238494873,0.005211591720581055,0.025635480880737305
18,6.517385959625244,2.890634775161743,2.851883888244629,0.014554500579833984,0.025722742080688477
19,6.555052757263184,2.932777166366577,2.7480309009552,0.00525975227355957,0.029531002044677734
20,6.527302980422974,2.8606979846954346,2.698915719985962,0.00522923469543457,0.024896860122680664
21,6.505187749862671,2.8373754024505615,2.6910994052886963,0.005192756652832031,0.025331497192382812
22,6.444865942001343,2.8145501613616943,2.716555595397949,0.005151987075805664,0.024740219116210938
23,6.611584901809692,2.8865673542022705,2.8527936935424805,0.0051937103271484375,0.025483131408691406
24,6.425614356994629,2.8111162185668945,2.6750521659851074,0.005227804183959961,0.024846553802490234
25,6.428322792053223,2.816291332244873,2.777498960494995,0.005289316177368164,0.02725529670715332
26,6.506690740585327,2.7622926235198975,2.688068389892578,0.005302906036376953,0.025570392608642578
27,6.601415395736694,2.7885942459106445,2.8094115257263184,0.014161348342895508,0.026337862014770508
28,6.5503318309783936,2.845946788787842,2.8535990715026855,0.005236387252807617,0.025166034698486328
29,6.5505030155181885,2.871490478515625,2.6855714321136475,0.005158424377441406,0.02498626708984375
30,6.583930015563965,2.9081368446350098,2.656336545944214,0.005148172378540039,0.02513909339904785
31,6.610526084899902,2.9452590942382812,2.730586528778076,0.005139589309692383,0.02554631233215332
32,6.392014741897583,2.85001277923584,2.6964545249938965,0.007621049880981445,0.03751015663146973
33,6.43719220161438,2.8947103023529053,2.8365912437438965,0.005220651626586914,0.0248868465423584
34,6.52322793006897,2.8690719604492188,2.798480272293091,0.005261898040771484,0.025434494018554688
35,6.505845546722412,2.93322491645813,2.759087562561035,0.005239248275756836,0.025177717208862305
36,6.414443016052246,2.7498533725738525,2.7441697120666504,0.005171298980712891,0.02516460418701172
37,6.446530342102051,2.8952698707580566,2.7348732948303223,0.013867616653442383,0.026151180267333984
38,6.480961084365845,2.7006478309631348,2.682018756866455,0.005372524261474609,0.02534961700439453
39,6.369362115859985,2.813775062561035,2.6379220485687256,0.005197763442993164,0.025794267654418945
